id-query,id,kudos_delta,hits_delta,comments_delta,bookmarks_delta,words_delta,chapters_delta,modified_before_window,hits,kudos,comments,bookmarks,words,chapters,language,restricted,complete,crossover,date_queried,time_elapsed,query_batch
51528457-0,51528457,15,106,0,0,0,0,False,0,0,0,0,290,1,English,False,True,False,2023-11-11 23:54:54.682174,1 days 00:00:02.114089,0
51528451-0,51528451,0,9,0,0,453,0,False,0,0,0,0,12,1,English,False,False,False,2023-11-11 23:54:54.683676,1 days 00:00:02.114890,0
45595939-0,45595939,2,46,12,1,0,0,False,375,21,34,2,11998,6,English,False,False,False,2023-11-11 23:54:54.684988,1 days 00:00:02.114989,0
49725898-0,49725898,0,32,2,0,0,0,False,574,21,44,2,26358,9,English,False,False,False,2023-11-11 23:54:54.687876,1 days 00:00:02.113467,0
51458578-0,51458578,3,80,0,0,0,0,False,150,9,0,0,16969,10,English,False,False,False,2023-11-11 23:54:54.689454,1 days 00:00:02.113401,0
51528445-0,51528445,5,88,1,0,0,0,False,0,0,0,0,2127,1,English,False,True,False,2023-11-11 23:54:54.690719,1 days 00:00:02.113404,0
51517483-19,51517483,0,10,0,0,0,0,True,18,2,0,0,8820,5,Русский,False,False,False,2023-11-12 18:54:56.481722,1 days 00:00:02.323762,19
51517483-20,51517483,0,5,0,0,0,0,True,28,2,0,0,9823,6,Русский,False,False,False,2023-11-13 19:57:49.027688,1 days 00:00:01.520290,20
51528412-0,51528412,26,137,8,1,-1,0,False,0,0,0,0,1128,1,English,False,True,False,2023-11-11 23:54:54.692885,1 days 00:00:02.113654,0
51528439-0,51528439,2,33,0,0,0,0,False,0,0,0,0,10157,1,Español,False,False,True,2023-11-11 23:54:54.694525,1 days 00:00:02.113644,0
51528172-1,51528172,31,506,27,7,0,0,True,39,1,0,0,28451,15,English,False,True,False,2023-11-12 00:54:57.615701,1 days 00:00:00.105678,1
50952463-0,50952463,3,79,1,1,353,1,False,1208,41,9,3,4253,12,English,False,False,True,2023-11-11 23:54:54.697951,1 days 00:00:02.112153,0
27091819-0,27091819,8,297,14,0,0,0,False,11449,669,194,174,23756,16,English,False,False,False,2023-11-11 23:54:54.699649,1 days 00:00:02.111930,0
42931647-0,42931647,0,34,0,0,0,0,False,1014,38,5,1,13132,11,Español,False,False,False,2023-11-11 23:54:54.701322,1 days 00:00:02.111758,0
48279283-0,48279283,2,171,16,1,0,0,True,7945,260,556,39,57100,52,English,False,False,False,2023-11-11 23:54:54.702862,1 days 00:00:02.111642,0
48279283-21,48279283,4,145,6,0,0,0,True,8150,262,572,40,58113,53,English,False,False,False,2023-11-13 21:57:45.483985,1 days 00:00:00.676661,21
51528418-16,51528418,15,126,4,2,0,0,True,100,13,2,3,5087,2,English,False,False,True,2023-11-12 15:54:57.300032,1 days 00:00:01.570946,16
48190357-0,48190357,0,13,0,0,0,0,False,1512,115,17,10,193049,42,English,False,True,False,2023-11-11 23:54:55.137583,1 days 00:00:01.680221,0
51528433-0,51528433,0,26,0,0,0,0,False,0,0,0,0,2538,1,English,False,True,False,2023-11-11 23:54:55.138842,1 days 00:00:01.680001,0
51359662-0,51359662,0,5,2,0,0,0,False,11,4,2,0,3891,2,Português brasileiro,False,False,False,2023-11-11 23:54:55.140094,1 days 00:00:01.680016,0
50956798-0,50956798,4,51,0,0,0,0,False,537,22,6,3,74221,38,English,False,True,False,2023-11-11 23:54:55.141354,1 days 00:00:01.680162,0
37543219-1,37543219,0,29,0,0,0,0,True,676,20,0,4,67317,22,English,False,True,False,2023-11-12 00:54:58.363504,1 days 00:00:00.140279,1
49058212-0,49058212,1,110,14,2,1,0,False,7823,175,747,22,154465,37,English,False,False,False,2023-11-11 23:54:55.145071,1 days 00:00:01.677997,0
51517732-0,51517732,0,0,0,0,0,0,False,2,0,0,0,639,2,English,False,True,False,2023-11-11 23:54:55.145958,1 days 00:00:01.677944,0
51406693-0,51406693,16,284,14,-1,12,0,False,1841,110,112,16,30773,15,English,False,True,True,2023-11-11 23:54:55.147016,1 days 00:00:02.052690,0
51528415-0,51528415,4,35,1,0,0,0,False,0,1,0,0,200,1,English,False,True,False,2023-11-11 23:54:55.148131,1 days 00:00:02.052744,0
51528400-0,51528400,19,153,4,1,-25,0,False,0,0,0,0,2808,1,English,False,True,False,2023-11-11 23:54:55.149432,1 days 00:00:02.052900,0
51528379-0,51528379,1,171,0,1,0,0,False,0,0,0,0,493,1,English,False,False,False,2023-11-11 23:54:55.150843,1 days 00:00:02.052926,0
51526957-19,51526957,0,23,0,0,0,0,True,46,3,2,0,12880,6,English,False,False,True,2023-11-12 18:55:02.355572,1 days 00:00:02.236073,19
49068142-0,49068142,4,87,5,0,-8,0,False,4889,190,681,15,205015,30,English,False,False,True,2023-11-11 23:54:55.153777,1 days 00:00:02.051439,0
51528409-2,51528409,19,172,0,4,0,0,True,31,4,0,2,3108,3,Español,False,False,False,2023-11-12 01:55:00.143816,0 days 23:59:59.792967,2
51528403-0,51528403,0,37,3,0,0,0,False,0,0,0,0,1721,1,English,False,True,False,2023-11-11 23:54:55.156450,1 days 00:00:02.050971,0
51528373-0,51528373,33,261,3,2,0,0,False,0,0,0,0,719,1,English,False,True,False,2023-11-11 23:54:55.157628,1 days 00:00:02.051003,0
45729553-0,45729553,0,27,0,0,0,0,False,601,19,36,2,85,5,English,False,False,False,2023-11-11 23:54:55.159062,1 days 00:00:02.051026,0
51528391-0,51528391,22,212,0,2,0,0,False,0,0,0,0,5434,1,English,False,True,False,2023-11-11 23:54:55.160397,1 days 00:00:02.050709,0
51528388-0,51528388,0,6,0,0,4,0,False,0,0,0,0,2739,1,English,False,True,False,2023-11-11 23:54:55.161259,1 days 00:00:02.050700,0
51180031-0,51180031,2,49,2,0,0,0,False,269,30,17,3,12702,5,English,False,False,True,2023-11-11 23:54:55.162359,1 days 00:00:02.050656,0
51528385-0,51528385,1,3,0,0,224,0,False,0,0,0,0,834,1,English,False,True,False,2023-11-11 23:54:55.479883,1 days 00:00:01.734096,0
51528202-0,51528202,23,193,0,0,0,0,False,0,0,0,0,100,1,English,False,True,False,2023-11-11 23:54:55.481085,1 days 00:00:01.734017,0
50961664-0,50961664,2,39,0,0,0,0,False,324,13,6,0,24686,6,English,False,False,False,2023-11-11 23:54:55.484805,1 days 00:00:01.731599,0
50102479-0,50102479,4,219,7,1,0,0,False,4571,263,188,43,35698,11,English,False,False,False,2023-11-11 23:54:55.486755,1 days 00:00:01.731613,0
43452880-0,43452880,0,4,1,0,3,0,False,285,18,1,0,458,3,Čeština,False,True,False,2023-11-11 23:54:55.488412,1 days 00:00:01.731574,0
51402919-19,51402919,2,122,2,1,0,0,True,612,29,12,2,13322,7,English,False,True,False,2023-11-12 18:54:56.469815,1 days 00:00:02.325130,19
51487024-17,51487024,57,819,14,4,0,0,True,2130,187,66,18,2447,4,English,False,False,False,2023-11-12 16:55:05.712665,1 days 00:00:00.415471,17
51528331-0,51528331,31,190,4,1,0,0,False,1,0,0,0,1889,1,English,False,True,False,2023-11-11 23:54:55.493350,1 days 00:00:01.728103,0
51528370-0,51528370,105,1363,4,13,0,0,False,1,0,0,0,1810,1,English,False,True,False,2023-11-11 23:54:55.494323,1 days 00:00:01.728165,0
51528340-0,51528340,2,5,1,0,0,0,False,0,0,0,0,3945,1,English,False,True,False,2023-11-11 23:54:55.495271,1 days 00:00:01.728200,0
50987998-0,50987998,1,37,0,0,0,0,False,205,1,0,0,1074,6,English,False,False,False,2023-11-11 23:54:55.499908,1 days 00:00:02.105850,0
51528352-0,51528352,5,263,0,0,0,0,False,0,0,0,0,1506,1,English,False,False,False,2023-11-11 23:54:55.500962,1 days 00:00:02.105915,0
51461899-19,51461899,0,3,0,0,0,0,True,32,3,0,1,10445,6,English,False,False,False,2023-11-12 18:55:07.075666,1 days 00:00:01.459226,19
51287032-0,51287032,4,44,4,1,0,0,False,387,23,76,0,10703,11,English,False,False,False,2023-11-11 23:54:55.503064,1 days 00:00:02.106316,0
50764243-0,50764243,75,928,9,15,0,0,False,2404,367,16,27,6160,3,English,False,True,False,2023-11-11 23:54:55.504255,1 days 00:00:02.106350,0
51528325-0,51528325,66,872,0,5,0,0,False,1,0,0,0,2340,1,English,False,True,False,2023-11-11 23:54:55.505562,1 days 00:00:02.107689,0
51362629-0,51362629,5,62,0,0,0,0,False,200,12,16,3,6676,4,English,False,False,True,2023-11-11 23:54:56.030185,1 days 00:00:01.585548,0
